DateVal,CMODateCount,CumCases,DailyDeaths,CumDeaths
2020-01-31,2.00,2.00,,
2020-02-01,0.00,2.00,,
2020-02-02,0.00,2.00,,
2020-02-03,0.00,2.00,,
2020-02-04,0.00,2.00,,
2020-02-05,0.00,2.00,,
2020-02-06,1.00,3.00,,
2020-02-07,0.00,3.00,,
2020-02-08,0.00,3.00,,
2020-02-09,1.00,4.00,,
2020-02-10,4.00,8.00,,
2020-02-11,0.00,8.00,,
2020-02-12,0.00,8.00,,
2020-02-13,1.00,9.00,,
2020-02-14,0.00,9.00,,
2020-02-15,0.00,9.00,,
2020-02-16,0.00,9.00,,
2020-02-17,0.00,9.00,,
2020-02-18,0.00,9.00,,
2020-02-19,0.00,9.00,,
2020-02-20,0.00,9.00,,
2020-02-21,0.00,9.00,,
2020-02-22,0.00,9.00,,
2020-02-23,0.00,9.00,,
2020-02-24,4.00,13.00,,
2020-02-25,0.00,13.00,,
2020-02-26,0.00,13.00,,
2020-02-27,0.00,13.00,,
2020-02-28,6.00,19.00,,
2020-02-29,4.00,23.00,,
2020-03-01,12.00,35.00,,
2020-03-02,5.00,40.00,,
2020-03-03,11.00,51.00,,
2020-03-04,34.00,85.00,,
2020-03-05,29.00,114.00,,
2020-03-06,46.00,160.00,,
2020-03-07,46.00,206.00,,
2020-03-08,65.00,271.00,,
2020-03-09,50.00,321.00,,
2020-03-10,52.00,373.00,,6.00
2020-03-11,83.00,456.00,,
2020-03-12,139.00,590.00,,8.00
2020-03-13,207.00,797.00,,
2020-03-14,264.00,1061.00,,21.00
2020-03-15,330.00,1391.00,14.00,35.00
2020-03-16,152.00,1543.00,20.00,55.00
2020-03-17,407.00,1950.00,16.00,71.00
2020-03-18,676.00,2626.00,32.00,103.00
2020-03-19,643.00,3269.00,41.00,144.00
2020-03-20,714.00,3983.00,33.00,177.00
2020-03-21,1035.00,5018.00,56.00,233.00
2020-03-22,665.00,5683.00,48.00,281.00
2020-03-23,967.00,6650.00,54.00,335.00
2020-03-24,1427.00,8077.00,87.00,422.00
2020-03-25,1452.00,9529.00,41.00,463.00
2020-03-26,2129.00,11658.00,115.00,578.00
2020-03-27,2885.00,14543.00,181.00,759.00
2020-03-28,2546.00,17089.00,260.00,"1,019.00"
2020-03-29,2433.00,19522.00,209.00,"1,228.00"
