date,percent
2020-01-11,1.05
2020-01-12,1.07
2020-01-13,1.05
2020-01-14,1.05
2020-01-15,1.06
2020-01-16,1.06
2020-01-17,1.06
2020-01-18,1.06
2020-01-19,1.06
2020-01-20,1.06
2020-01-21,1.07
2020-01-22,1.08
2020-01-23,1.07
2020-01-24,1.07
2020-01-25,1.06
2020-01-26,1.06
2020-01-27,1.06
2020-01-28,1.06
2020-01-29,1.05
2020-01-30,1.03
2020-01-31,1.04
2020-02-01,1.05
2020-02-02,1.04
2020-02-03,1.02
2020-02-04,1.01
2020-02-05,1.02
2020-02-06,1.04
2020-02-07,1.03
2020-02-08,1.02
2020-02-09,1.01
2020-02-10,1.02
2020-02-11,1.03
2020-02-12,1.02
2020-02-13,1.02
2020-02-14,1.04
2020-02-15,1.02
2020-02-16,1.03
2020-02-17,1.02
2020-02-18,1.02
2020-02-19,1.02
2020-02-20,1.00
2020-02-21,0.99
2020-02-22,1.00
2020-02-23,1.01
2020-02-24,1.01
2020-02-25,1.01
2020-02-26,1.00
2020-02-27,0.99
2020-02-28,0.97
2020-02-29,0.97
2020-03-01,0.97
2020-03-02,0.94
2020-03-03,0.94
2020-03-04,0.94
2020-03-05,0.94
2020-03-06,0.96
2020-03-07,0.95
2020-03-08,0.95
2020-03-09,0.95
2020-03-10,0.93
2020-03-11,0.91
2020-03-12,0.88
2020-03-13,0.83
2020-03-14,0.80
2020-03-15,0.77
2020-03-16,0.70
2020-03-17,0.61
2020-03-18,0.52
2020-03-19,0.45
2020-03-20,0.39
2020-03-21,0.34
2020-03-22,0.31
2020-03-23,0.24
2020-03-24,0.20
2020-03-25,0.16
2020-03-26,0.13
2020-03-27,0.12
2020-03-28,0.11
2020-03-29,0.11
2020-03-30,0.09
2020-03-31,0.09
2020-04-01,0.08
2020-04-02,0.07
2020-04-03,0.06
2020-04-04,0.06
2020-04-05,0.06
2020-04-06,0.05
2020-04-07,0.04
