lad19cd,n
E06000006,128432
E06000007,209547
E06000008,148942
E06000009,139305
E06000049,380790
E06000050,340502
E07000027,67137
E07000029,68424
E07000031,104532
E07000037,92221
E07000117,88527
E07000118,116821
E07000119,79770
E07000120,80815
E07000121,144246
E07000122,91405
E07000123,141818
E07000124,60057
E07000125,70895
E07000126,110527
E07000127,113949
E07000128,111223
E07000163,56832
E07000165,160533
E07000166,53244
E08000001,285372
E08000002,190108
E08000003,547627
E08000004,235623
E08000005,220001
E08000006,254408
E08000007,291775
E08000008,225197
E08000009,236370
E08000010,326088
E08000011,149571
E08000012,494814
E08000013,180049
E08000014,275396
E08000015,323235
E08000032,537173
E08000033,210082
E08000034,438727
